report_id,country,report_title,publication_date,landing_url,pdf_url,recommendation_id,original_text,priority,timeframe,table_group,recommendation_printed_page,body_section,body_context_printed_page,specificity_score,specificity_justification,specificity_evidence,actionability_score,actionability_justification,actionability_evidence,internal_consistency_score,internal_consistency_justification,internal_consistency_evidence,evidence_status,overall_score,overall_assessment
azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,Republic of Azerbaijan: Technical Assistance Report-Modernizing Central Bank Communication,2025-02-12,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/02/12/azerbaijan-technical-assistance-report-modernizing-central-bank-communication-561816,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025013-print-pdf.pdf,AZE-001,Update and expand CBA Rules on Information Transmission to Media to transform it into Communication Policy.,High,Medium-term,Communication Framework and Organization,10,I.A. Importance of Formalized Institutional Communication Framework,15,3,"States a clear document-level action and target, but omits the responsible unit, required content, and implementation sequence.",Update and expand CBA Rules on Information Transmission to Media,3,"The core revision is implementable, but the recommendation itself does not specify approval, drafting responsibilities, or required policy components.",transform it into Communication Policy,5,"Directly follows the finding that the existing rules have gaps and need updating, and the report explicitly recommends their expansion into a Communications Policy.",The CBA would benefit from expanding the Rules on Information Transmission to Media,supported,3.7,Medium
azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,Republic of Azerbaijan: Technical Assistance Report-Modernizing Central Bank Communication,2025-02-12,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/02/12/azerbaijan-technical-assistance-report-modernizing-central-bank-communication-561816,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025013-print-pdf.pdf,AZE-002,Increase the resources of the Communications Division and upgrade its skills mix.,High,Near-term,Communication Framework and Organization,10,I.B. Organizational Structure,19,3,"Identifies the division and two desired staffing actions, but does not state the scale of resources or the skills required.",Increase the resources of the Communications Division and upgrade its skills mix.,3,"Staffing and skills improvements are implementable, but the recommendation itself lacks positions, staffing levels, or an implementation plan.",Increase the resources of the Communications Division,5,The report directly identifies limited capacity and specifies the priority staffing and skills additions.,The priority at this time is to add three staff positions dedicated to: (i) content creation; (ii) graphic design; and (iii) creation of video materials.,supported,3.7,Medium
azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,Republic of Azerbaijan: Technical Assistance Report-Modernizing Central Bank Communication,2025-02-12,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/02/12/azerbaijan-technical-assistance-report-modernizing-central-bank-communication-561816,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025013-print-pdf.pdf,AZE-003,Integrate the Communications Division more closely with other departments and decision-making processes.,High,Near-term,Communication Framework and Organization,10,I.B. Organizational Structure,19,3,"Names the division and intended institutional relationships, but does not define the forms of integration or responsible decision makers.",Integrate the Communications Division more closely with other departments and decision-making processes.,3,"The organizational change is implementable, but the recommendation itself does not specify participation rules, procedures, or sequencing.",more closely with other departments and decision-making processes,5,The report directly finds that communications staff are excluded from policy deliberations and calls for their routine inclusion.,CD management and staff should be routinely included in the policy discussions and participate in the drafting of the policy messages.,supported,3.7,Medium
azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,Republic of Azerbaijan: Technical Assistance Report-Modernizing Central Bank Communication,2025-02-12,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/02/12/azerbaijan-technical-assistance-report-modernizing-central-bank-communication-561816,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025013-print-pdf.pdf,AZE-004,"Ensure well-rounded short-, medium- and long-term communications planning.",Medium,Near-term,Communication Framework and Organization,10,I.C. Communications Management: From Planning to Reporting,20,3,"Defines the planning topic and planning horizons, but leaves the plans' content, ownership, and operating cadence unspecified.","short-, medium- and long-term communications planning",2,"It conveys a planning objective, but the recommendation itself provides no concrete planning process, responsible unit, or deliverables.",Ensure well-rounded,5,"The report directly diagnoses the absence of cyclical planning and sets out monthly, annual, and reporting arrangements.",neither the 2024–2026 Communication Strategy nor RITM establish a cyclical communication planning process,supported,3.3,Medium
azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,Republic of Azerbaijan: Technical Assistance Report-Modernizing Central Bank Communication,2025-02-12,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/02/12/azerbaijan-technical-assistance-report-modernizing-central-bank-communication-561816,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025013-print-pdf.pdf,AZE-005,"Accelerate the shift from a reactive to a proactive external communication policy, supported by an internal message management process.",Medium,Medium-term,Communication Framework and Organization,10,I.D. Message Management and Content Development,24,3,"Clearly identifies the desired policy shift and supporting process, but omits ownership, operating frequency, and implementation steps.",shift from a reactive to a proactive external communication policy,3,"The central change is implementable, but the recommendation itself needs material clarification on governance and the message-management workflow.",supported by an internal message management process,5,The report directly finds that the current system is reactive and recommends proactive messaging supported by a formal internal process.,The current system is ill suited for CBA’s intention to take a proactive stance in public communication,supported,3.7,Medium
azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,Republic of Azerbaijan: Technical Assistance Report-Modernizing Central Bank Communication,2025-02-12,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/02/12/azerbaijan-technical-assistance-report-modernizing-central-bank-communication-561816,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025013-print-pdf.pdf,AZE-006,Establish a framework for the regular assessment of the effectiveness of its communications.,Medium,Medium-term,Communication Framework and Organization,10,I.E. Monitoring and Assessment of Communications' Effectiveness,26,3,"Specifies the creation of an assessment framework and its recurring purpose, but does not identify measures, responsible staff, or reporting frequency.",Establish a framework for the regular assessment of the effectiveness of its communications.,3,"Establishing a framework is a feasible core step, but the recommendation itself lacks methods, data requirements, and operational responsibilities.",regular assessment of the effectiveness,5,The report explicitly finds that monitoring data are not sufficiently analyzed and recommends a regular effectiveness-assessment framework.,the lack of further analysis and assessment of central bank communication effectiveness,supported,3.7,Medium
azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,Republic of Azerbaijan: Technical Assistance Report-Modernizing Central Bank Communication,2025-02-12,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/02/12/azerbaijan-technical-assistance-report-modernizing-central-bank-communication-561816,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025013-print-pdf.pdf,AZE-007,Elevate the Monetary Policy Review to the role of a flagship publication.,High,Near-term,Monetary Policy Communications,10,II.A. Monetary Policy Communication Product Lineup,32,3,"Identifies the publication and desired role, but does not state the changes, ownership, publication schedule, or completion criteria.",Elevate the Monetary Policy Review to the role of a flagship publication.,3,"The objective is implementable, but the recommendation itself does not specify how the publication should be redesigned or launched in its new role.",the role of a flagship publication,5,The report directly recommends making the MPR the main vehicle for monetary policy communication and sets out its intended content and publication arrangements.,The MPR should become the main vehicle for communicating monetary policy.,supported,3.7,Medium
azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,Republic of Azerbaijan: Technical Assistance Report-Modernizing Central Bank Communication,2025-02-12,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/02/12/azerbaijan-technical-assistance-report-modernizing-central-bank-communication-561816,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025013-print-pdf.pdf,AZE-008,Streamline the monetary policy communication cycle.,High,Near-term,Monetary Policy Communications,10,II.B. Communication Cycle of Monetary Policy,35,2,"Identifies a broad organizational action and scope, but leaves the specific cycle changes, owners, timing, and sequence materially unclear.",Streamline the monetary policy communication cycle.,2,"An improvement action is implied, but the recommendation itself lacks implementable steps, dependencies, and accountability.",Streamline,5,"The report directly identifies misalignment and delays in the cycle, then provides a fixed-time routine centered on the MPR.",The monetary policy communication cycle should be built around the MPR publication and have an established fixed-time routine.,supported,3.0,Medium
ukraine_counterparty_eligibility_and_ela_2025,Ukraine,Ukraine: Technical Assistance Report-Review of the Counterparty Eligibility for Monetary Policy Operations and the Emergency Liquidity Assistance Framework,2025-06-25,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/06/25/ukraine-technical-assistance-report-review-of-the-counterparty-eligibility-for-monetary-568011,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025067-print-pdf.pdf,UKR-001,"Amend eligibility criteria for counterparties to participate in MPOs to include financial soundness criteria, rooted in solvency.",High,Near-term,Counterparty eligibility for Monetary Policy Operations,8,II.D. Counterparty Framework at the NBU,17,3,"It specifies the action, affected criteria, counterparties, and solvency-based financial soundness, but not the responsible unit or detailed threshold.","Amend eligibility criteria for counterparties to participate in MPOs to include financial soundness criteria, rooted in solvency.",3,"The regulatory change is implementable, but the criteria, ownership, and implementation sequence require clarification.","include financial soundness criteria, rooted in solvency",5,The report directly identifies absent financial-soundness criteria and recommends amending the framework to include at least solvency-based criteria.,"The framework of rules should hence be amended to include (broad) financial soundness criteria, at least on solvency.",supported,3.7,Medium
ukraine_counterparty_eligibility_and_ela_2025,Ukraine,Ukraine: Technical Assistance Report-Review of the Counterparty Eligibility for Monetary Policy Operations and the Emergency Liquidity Assistance Framework,2025-06-25,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/06/25/ukraine-technical-assistance-report-review-of-the-counterparty-eligibility-for-monetary-568011,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025067-print-pdf.pdf,UKR-002,Introduce a new counterparty measure of limitation.,High,Near-term,Counterparty eligibility for Monetary Policy Operations,8,II.D. Counterparty Framework at the NBU,17,2,"It identifies the measure to introduce but does not define its operation, scope, owner, or triggers.",Introduce a new counterparty measure of limitation.,3,"Adding a limitation measure is an implementable core step, but its rules, grace period, and escalation arrangements need material specification.",new counterparty measure of limitation,5,The report explicitly recommends adding limitation because the NBU can otherwise only suspend counterparties.,The NBU should add the option of limitation to its measures.,supported,3.3,Medium
