recommendation_id,report_slug,country,publication_date,table_order,selected_rank,table_group,recommendation_text_verbatim,table_paragraph_refs,priority,timeframe,recommendation_printed_page,recommendation_pdf_page_index,body_section,body_paragraphs_verified,body_context_printed_page,body_context_pdf_page_index,context_excerpt_verbatim,assessment_domain,selection_rationale,uncertainty_note
AZE-001,azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,2025-02-12,1,1,Communication Framework and Organization,Update and expand CBA Rules on Information Transmission to Media to transform it into Communication Policy.,¶14–15,High,Medium-term,10,9,I.A. Importance of Formalized Institutional Communication Framework,¶14–15,15,14,The CBA would benefit from expanding the Rules on Information Transmission to Media to cover all key outreach products and procedures to enhance their efficiency (Figure 1):,central_bank_communication_governance,Direct recommendation to formalize the central bank's communications policy.,
AZE-002,azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,2025-02-12,2,2,Communication Framework and Organization,Increase the resources of the Communications Division and upgrade its skills mix.,¶20,High,Near-term,10,9,I.B. Organizational Structure,¶20,19,18,"To further strengthen CBA policy communications, the staffing of the Communications Division should be increased, and the skills mix should be enhanced.",central_bank_organizational_capacity,High-priority capacity recommendation with explicit staffing implications.,
AZE-003,azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,2025-02-12,3,3,Communication Framework and Organization,Integrate the Communications Division more closely with other departments and decision-making processes.,¶21,High,Near-term,10,9,I.B. Organizational Structure,¶21,19,18,The Communications Division should play a central role in the institutional communication framework.,central_bank_decision_governance,High-priority recommendation linking communications to policy decisions.,
AZE-004,azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,2025-02-12,4,4,Communication Framework and Organization,"Ensure well-rounded short-, medium- and long-term communications planning.",¶26–28,Medium,Near-term,10,9,I.C. Communications Management: From Planning to Reporting,¶26–28,20,19,"The CBA should aim to create an ecosystem for managing the central bank’s communication processes, which should include the following elements (see Figure 5):",communications_planning,Adds an operational planning horizon to the governance recommendations.,
AZE-005,azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,2025-02-12,5,5,Communication Framework and Organization,"Accelerate the shift from a reactive to a proactive external communication policy, supported by an internal message management process.",¶36–39,Medium,Medium-term,10,9,I.D. Message Management and Content Development,¶36–39,24,23,The transition to a proactive communication policy should be at the core of CBA’s efforts to enhance the communication framework.,proactive_policy_communication,Captures the recommended shift in the central bank's external communication model.,
AZE-006,azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,2025-02-12,6,6,Communication Framework and Organization,Establish a framework for the regular assessment of the effectiveness of its communications.,¶43–46,Medium,Medium-term,10,9,I.E. Monitoring and Assessment of Communications' Effectiveness,¶43–46,26,25,"With an increase in the volume of observed data, the CBA should start assessing the effectiveness of the central bank communications.",communications_monitoring_and_evaluation,Provides an explicit measurement and evaluation recommendation.,
AZE-007,azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,2025-02-12,7,7,Monetary Policy Communications,Elevate the Monetary Policy Review to the role of a flagship publication.,¶67–68,High,Near-term,10,9,II.A. Monetary Policy Communication Product Lineup,¶67–68,32,31,The MPR should become the main vehicle for communicating monetary policy.,monetary_policy_publication,High-priority recommendation directly tied to monetary-policy communication.,
AZE-008,azerbaijan_modernizing_central_bank_communication_2025,Azerbaijan,2025-02-12,9,8,Monetary Policy Communications,Streamline the monetary policy communication cycle.,¶81–84,High,Near-term,10,9,II.B. Communication Cycle of Monetary Policy,¶81–84,35,34,The monetary policy communication cycle should be built around the MPR publication and have an established fixed-time routine.,monetary_policy_communication_cycle,High-priority recommendation for sequencing monetary-policy decisions and communications.,Table-order item 8 was not selected; selected_rank remains contiguous within the curated sample.
UKR-001,ukraine_counterparty_eligibility_and_ela_2025,Ukraine,2025-06-25,1,1,Counterparty eligibility for Monetary Policy Operations,"Amend eligibility criteria for counterparties to participate in MPOs to include financial soundness criteria, rooted in solvency.","¶34, ¶35",High,Near-term,8,7,II.D. Counterparty Framework at the NBU,¶33–34,17,16,"The NBU has requirements for counterparties in place, which should be amended to include financial soundness criteria.",monetary_policy_counterparty_eligibility,Core safeguard for central-bank monetary-policy lending operations.,"The rendered table cites ¶34 and ¶35; the matching recommendation discussion begins at ¶33 and continues in ¶34, while ¶35 begins the limitation recommendation."
UKR-002,ukraine_counterparty_eligibility_and_ela_2025,Ukraine,2025-06-25,2,2,Counterparty eligibility for Monetary Policy Operations,Introduce a new counterparty measure of limitation.,¶36,High,Near-term,8,7,II.D. Counterparty Framework at the NBU,¶35,17,16,The NBU should add the option of limitation to its measures.,monetary_policy_counterparty_controls,Adds an intermediate risk-control measure between access and suspension.,"The rendered table cites ¶36, but the matching body text is ¶35; ¶36 discusses automatic application of measures."
